Strategy,Active Days,Total Return,CAGR,Annualized Volatility,Sharpe,Max Drawdown,Hit Rate,Average Active Return,Median Active Return
Unfiltered Mean Reversion,169,0.9109930516214342,0.056273413293302044,0.09060946110289185,0.6488465781360824,-0.15780269215419185,0.5621301775147929,0.004115193838950257,0.0018972634479212
HMM Stress-Regime Filter,128,1.1230612104515276,0.06571211788549047,0.08678522928781887,0.7760052607749179,-0.11869826594188027,0.6171875,0.00622389054313931,0.00244338365258605
