Strategy,Total Return,CAGR,Annualized Volatility,Sharpe,Max Drawdown,Hit Rate
Regime-Aware Strategy,1.692902971696268,0.06471473002198302,0.12994000584450618,0.547235039602435,-0.39709630530786777,0.5324288550628723
Buy & Hold SPY,7.672366357671756,0.14652821652176518,0.16980855932600744,0.8905840657896977,-0.33717270912467123,0.5551637279596977
