Date,Close,High,Low,Open,Volume,return,log_return,volatility_20d,annualized_volatility_20d,momentum_20d,momentum_60d,sma_20,sma_50,sma_200,distance_from_sma20,running_max,drawdown,regime,regime_label,signal,position,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
2010-10-18,89.53468322753906,89.82990196419344,88.80041916833802,89.1259174901929,141204800,0.0049278370343133,0.0049157349870554,0.0077109204182389,0.1224070668364226,0.0356366808166883,0.077015260581841,87.43559112548829,84.46723007202148,84.27223613739014,0.0240072958280586,91.281494140625,-0.0191365284884016,0.0,Intermediate / Bull,1.0,0.0,0.0,0.0049278370343133,1.0,1.0049278370343133
2010-10-19,88.36136627197266,89.20917142854422,87.82391093490955,88.70957278631305,280604700,-0.0131046083290941,-0.0131912313146157,0.0083688846383992,0.132851925025158,0.0241271195455665,0.0519445308825716,87.53967514038087,84.53296096801758,84.29115047454835,0.0093864996674262,91.281494140625,-0.0319903601068766,0.0,Intermediate / Bull,1.0,1.0,-0.0131046083290941,-0.0131046083290941,0.9868953916709059,0.991758651330975
2010-10-20,89.22431182861328,89.65578573485008,88.4673396580056,88.52032747893857,200051800,0.0097660956710936,0.0097187155879615,0.0084454966443968,0.1340681029170267,0.0392347517245847,0.0623131554122764,87.70810165405274,84.62513626098632,84.31326023101806,0.0172870025227649,91.281494140625,-0.0225366853531395,0.0,Intermediate / Bull,1.0,1.0,0.0097660956710936,0.0097660956710936,0.9965335064833254,1.001444261202508
2010-10-21,89.4211196899414,90.14781227464287,88.72470668484074,89.62550540843702,221585500,0.0022057649680298,0.002203335839884,0.0081062398375187,0.1286825680675155,0.0500443961297647,0.0715727965847483,87.92118911743164,84.76762893676758,84.33605556488037,0.0170599441109287,91.281494140625,-0.0203806310161571,1.0,Low-Volatility / Bull,1.0,1.0,0.0022057649680298,0.0022057649680298,0.9987316251813942,1.003653211871303
2010-10-22,89.587646484375,89.72390169278292,89.32270740559261,89.55736690748004,108212400,0.00186227588081,0.0018605439949147,0.006890104283747,0.1093770146525728,0.0307437733893729,0.0788246150386036,88.05479469299317,84.9235417175293,84.3578923034668,0.0174079310130264,91.281494140625,-0.0185563094929244,1.0,Low-Volatility / Bull,1.0,1.0,0.00186227588081,0.00186227588081,1.0005915389983717,1.0055222910404684
2010-10-25,89.85261535644531,90.65500997212231,89.78449061727197,90.18568503749012,151145700,0.0029576496589462,0.0029532844183106,0.0067315890402714,0.106860663173077,0.0387681791853549,0.0822118683845574,88.22246551513672,85.08957260131837,84.379635887146,0.0184777180255624,91.281494140625,-0.0156535428964211,1.0,Low-Volatility / Bull,1.0,1.0,0.0029576496589462,0.0029576496589462,1.0035509382224348,1.0084962737016272
2010-10-26,89.86774444580078,89.95857741762752,89.22431920265554,89.39841958214998,158982900,0.000168376727772,0.0001683625540018,0.0067317759124568,0.1068636296770538,0.0353187083804409,0.0584926114908161,88.37575225830078,85.25665893554688,84.40085792541504,0.0168823704395666,91.281494140625,-0.01548780186098,1.0,Low-Volatility / Bull,1.0,1.0,0.000168376727772,0.000168376727772,1.0037199128455652,1.0086660810041634
2010-10-27,89.61040496826172,89.70881509215909,88.76259944078905,89.23949004999243,190024000,-0.0028635355112786,-0.0028676432727788,0.0067669950128872,0.1074227155638839,0.0341576042765154,0.0605402144084625,88.52374114990235,85.39857070922852,84.42478614807129,0.0122753941964479,91.281494140625,-0.0183069875016381,1.0,Low-Volatility / Bull,1.0,1.0,-0.0028635355112786,-0.0028635355112786,1.0008457252317544,1.0057777298621857
2010-10-28,89.6255111694336,90.16296074760596,89.19403723905636,90.12510982686211,168576000,0.0001685764189685,0.0001685622115606,0.0066888669856025,0.1061824715801682,0.0374133589832896,0.0536767795726147,88.68535423278809,85.53777191162109,84.44520763397217,0.0106010394250408,91.281494140625,-0.0181414972090647,1.0,Low-Volatility / Bull,1.0,1.0,0.0001685764189685,0.0001685764189685,1.001014444220054,1.0059472802701641
2010-10-29,89.69367218017578,89.8677784006929,89.37574510817966,89.53470864417773,144305500,0.0007605090320024,0.0007602199915445,0.0066695966265109,0.1058765641131796,0.0338542619352477,0.0555995176846131,88.83220825195312,85.70709899902344,84.46481315612793,0.0096976529704102,91.281494140625,-0.0173947849495438,1.0,Low-Volatility / Bull,1.0,1.0,0.0007605090320024,0.0007605090320024,1.0017757247460481,1.0067123122625279
