threshold,threshold_percent,strategy,active_days,total_return,cagr,annualized_volatility,sharpe,max_drawdown,hit_rate,average_active_return
0.01,1.0,Unfiltered,727,0.9860109870132614,0.05971722842145866,0.12652687585853084,0.5210337947599027,-0.2094272392035369,0.5116918844566712,0.0010726936312305973
0.01,1.0,HMM Filtered,324,1.1991996152869322,0.06889113701274874,0.11139046571650131,0.6530441023356552,-0.14035336035138202,0.5462962962962963,0.002655870875350167
0.015,1.5,Unfiltered,349,0.8183306890056874,0.05184451702178139,0.1070218100731398,0.5250892407866409,-0.15688450909973428,0.5358166189111748,0.0019047650768382644
0.015,1.5,HMM Filtered,209,0.9761932615814366,0.059273372007208724,0.09989793561361744,0.6255724377084955,-0.11071841698687279,0.5598086124401914,0.003537115721208279
0.02,2.0,Unfiltered,169,0.9109930516214342,0.056273413293302044,0.09060946110289185,0.6488465781360824,-0.15780269215419185,0.5621301775147929,0.004115193838950257
0.02,2.0,HMM Filtered,128,1.1230612104515276,0.06571211788549047,0.08678522928781887,0.7760052607749179,-0.11869826594188027,0.6171875,0.00622389054313931
0.025,2.5,Unfiltered,96,0.785720415661191,0.050236601223769384,0.08188037766813532,0.6388611178920353,-0.15856026166520987,0.5833333333333334,0.006445795107013129
0.025,2.5,HMM Filtered,84,0.94677382992274,0.05793113542351547,0.08015876616564761,0.7418963967037311,-0.14046563310887994,0.6190476190476191,0.00837483838112552
0.03,3.0,Unfiltered,56,0.34150268919757587,0.02514666063319959,0.06979824830610289,0.3902209509173105,-0.10410047465675043,0.5357142857142857,0.005753452270508011
0.03,3.0,HMM Filtered,52,0.47013276823143046,0.03311234717710332,0.06816299869417941,0.5114580450257524,-0.09567732145209462,0.5769230769230769,0.007930796275839789
