,Next Regime 0,Next Regime 1,Next Regime 2
Current Regime 0,0.9560380953317202,0.032750132432408166,0.011211772235871524
Current Regime 1,0.024912425031445452,0.9742362957084605,0.0008512792600940412
Current Regime 2,0.024520358951004663,8.356116159302572e-31,0.9754796410489953
