Date,Close,High,Low,Open,Volume,return,log_return,volatility_20d,annualized_volatility_20d,momentum_20d,momentum_60d,sma_20,sma_50,sma_200,distance_from_sma20,running_max,drawdown
2010-10-18,89.53468322753906,89.82990196419344,88.80041916833802,89.1259174901929,141204800,0.00492783703431332,0.004915734987055442,0.007710920418238954,0.12240706683642262,0.03563668081668836,0.07701526058184105,87.43559112548829,84.46723007202148,84.27223613739014,0.024007295828058606,91.281494140625,-0.01913652848840164
2010-10-19,88.36136627197266,89.20917142854422,87.82391093490955,88.70957278631305,280604700,-0.013104608329094103,-0.013191231314615757,0.008368884638399203,0.13285192502515802,0.024127119545566567,0.05194453088257167,87.53967514038087,84.53296096801758,84.29115047454835,0.009386499667426218,91.281494140625,-0.031990360106876614
2010-10-20,89.22431182861328,89.65578573485008,88.4673396580056,88.52032747893857,200051800,0.009766095671093655,0.009718715587961555,0.008445496644396807,0.13406810291702673,0.03923475172458479,0.062313155412276444,87.70810165405274,84.62513626098632,84.31326023101806,0.017287002522764938,91.281494140625,-0.022536685353139574
2010-10-21,89.4211196899414,90.14781227464287,88.72470668484074,89.62550540843702,221585500,0.002205764968029822,0.002203335839884084,0.00810623983751875,0.1286825680675155,0.050044396129764745,0.07157279658474835,87.92118911743164,84.76762893676758,84.33605556488037,0.017059944110928704,91.281494140625,-0.02038063101615717
2010-10-22,89.587646484375,89.72390169278292,89.32270740559261,89.55736690748004,108212400,0.0018622758808100048,0.0018605439949147496,0.006890104283747034,0.10937701465257281,0.030743773389372953,0.07882461503860361,88.05479469299317,84.9235417175293,84.3578923034668,0.0174079310130264,91.281494140625,-0.018556309492924417
2010-10-25,89.85261535644531,90.65500997212231,89.78449061727197,90.18568503749013,151145700,0.002957649658946293,0.002953284418310653,0.006731589040271436,0.10686066317307709,0.03876817918535491,0.08221186838455741,88.22246551513672,85.08957260131837,84.379635887146,0.018477718025562417,91.281494140625,-0.01565354289642118
2010-10-26,89.86774444580078,89.95857741762752,89.22431920265554,89.39841958214998,158982900,0.00016837672777203494,0.00016836255400180705,0.006731775912456814,0.10686362967705389,0.03531870838044093,0.05849261149081619,88.37575225830078,85.25665893554688,84.40085792541504,0.01688237043956664,91.281494140625,-0.015487801860980088
2010-10-27,89.61040496826172,89.70881509215909,88.76259944078905,89.23949004999243,190024000,-0.002863535511278603,-0.002867643272778871,0.006766995012887249,0.10742271556388391,0.034157604276515485,0.06054021440846258,88.52374114990235,85.39857070922852,84.42478614807129,0.012275394196447964,91.281494140625,-0.018306987501638172
2010-10-28,89.6255111694336,90.16296074760596,89.19403723905636,90.12510982686213,168576000,0.0001685764189685024,0.00016856221156065314,0.006688866985602586,0.1061824715801682,0.03741335898328968,0.05367677957261474,88.68535423278809,85.53777191162109,84.44520763397217,0.01060103942504087,91.281494140625,-0.018141497209064772
2010-10-29,89.69367218017578,89.8677784006929,89.37574510817966,89.53470864417773,144305500,0.000760509032002421,0.0007602199915445113,0.006669596626510933,0.10587656411317964,0.033854261935247765,0.05559951768461313,88.83220825195312,85.70709899902344,84.46481315612793,0.009697652970410253,91.281494140625,-0.01739478494954383
2010-11-01,89.72389221191406,90.64739899629015,89.2091510095686,90.1326577939447,174074800,0.0003369249023228438,0.0003368681558737779,0.006322316085228699,0.10036365642875149,0.042021770097920186,0.06027697249703956,89.01312370300293,85.88230194091797,84.48938346862793,0.007984985576763304,91.281494140625,-0.017063720783441094
2010-11-02,90.43547821044922,90.64742952245496,90.15539639087586,90.39762728677387,158345900,0.007930841841485181,0.007899558011211382,0.004922346235722586,0.0781398240400613,0.029558925202636255,0.06301108419057888,89.14294509887695,86.07791030883789,84.51221302032471,0.014499555855357782,91.281494140625,-0.0092682086127166
2010-11-03,90.79884338378906,90.85183122446404,89.66338470483258,90.59446336268314,226702800,0.004017949377060459,0.004009898975328385,0.0049396135117284095,0.07841393354884683,0.03378471346343481,0.07307517837646205,89.29131317138672,86.30472900390625,84.54122512817383,0.016883279670316664,91.281494140625,-0.005287498428678039
2010-11-04,92.54742431640625,92.59284080107912,90.81395725676956,91.8055890070581,215039400,0.0192577445642812,0.01907466098542156,0.006255672553538551,0.09930572316069239,0.05496575163762474,0.12456107090494695,89.53240814208985,86.5603451538086,84.58715221405029,0.033675137716965065,92.54742431640625,0.0
2010-11-05,92.8956298828125,93.04702201365339,92.4868641992546,92.60797674887938,180654100,0.0037624555083866085,0.0037553951765750527,0.006223996405535879,0.09880287990004712,0.05302896777178634,0.13575436993418855,89.76631240844726,86.83361709594726,84.64411182403565,0.03486071099953936,92.8956298828125,0.0
2010-11-08,92.72149658203125,92.87289444377633,92.30516545651759,92.60794962953193,156107100,-0.0018745047641198775,-0.0018762638467915303,0.0062950919503060015,0.09993148668476552,0.0500638297045084,0.13697460076478185,89.98734626770019,87.07886108398438,84.69811111450196,0.03038371979764065,92.8956298828125,-0.0018745047641198775
2010-11-09,92.05538940429688,93.06972937687931,91.68447464457161,92.97132507028594,186621600,-0.0071839562807861634,-0.007209885150581856,0.006650540868458978,0.1055740633320839,0.0393129546445703,0.12932791520281306,90.1614501953125,87.33412414550781,84.7504962158203,0.021006086358212217,92.8956298828125,-0.00904499468463249
2010-11-10,92.42631530761719,92.47173757210865,91.33627913890638,92.0326922585461,221387400,0.004029377375085019,0.004021281175212257,0.00652943000651744,0.10365148800148798,0.03544787632577395,0.12011780998581467,90.31965789794921,87.59680572509765,84.80279567718506,0.023324461791565332,92.8956298828125,-0.005052063006487528
