,Next Regime 0,Next Regime 1,Next Regime 2
Current Regime 0,0.8646895273401297,0.11677479147358666,0.018535681186283594
Current Regime 1,0.1032258064516129,0.8959677419354839,0.0008064516129032258
Current Regime 2,0.02723146747352496,0.0045385779122541605,0.9682299546142209
